n,method,time,abs_error,rel_error
5,jacobi,nan s,nan,nan
5,gauss_seidel,5.1472246e-02 s,1.2200112e+00,1.2200112e+00
5,relaxing_0.8,5.6259118e-02 s,1.1867916e+00,1.1867916e+00
5,relaxing_1.12,2.3137367e-02 s,1.2465484e+00,1.2465484e+00
9,jacobi,nan s,nan,nan
9,gauss_seidel,9.4346853e-02 s,1.1620265e+00,1.1620265e+00
9,relaxing_0.8,9.8399650e-02 s,1.1552555e+00,1.1552555e+00
9,relaxing_1.12,8.0620727e-02 s,1.1654992e+00,1.1654992e+00
15,jacobi,nan s,nan,nan
15,gauss_seidel,3.5677105e-01 s,1.1153440e+00,1.1153440e+00
15,relaxing_0.8,4.6604566e-01 s,1.1119549e+00,1.1119549e+00
15,relaxing_1.12,3.4646871e-01 s,1.1156396e+00,1.1156396e+00
