root_index,xl,xu,x,relative_error,tol,iter,function,method
0,1.8000000000,2.1000000000,1.8000000000,16.6666666667,0.0001000000,1,(x/2) - tan(2*x),Bissection
0,1.9500000000,2.1000000000,1.9500000000,7.6923076923,0.0001000000,2,(x/2) - tan(2*x),Bissection
0,1.9500000000,2.0250000000,2.0250000000,3.7037037037,0.0001000000,3,(x/2) - tan(2*x),Bissection
0,1.9500000000,1.9875000000,1.9875000000,1.8867924528,0.0001000000,4,(x/2) - tan(2*x),Bissection
0,1.9500000000,1.9687500000,1.9687500000,0.9523809524,0.0001000000,5,(x/2) - tan(2*x),Bissection
0,1.9500000000,1.9593750000,1.9593750000,0.4784688995,0.0001000000,6,(x/2) - tan(2*x),Bissection
0,1.9546875000,1.9593750000,1.9546875000,0.2398081535,0.0001000000,7,(x/2) - tan(2*x),Bissection
0,1.9570312500,1.9593750000,1.9570312500,0.1197604790,0.0001000000,8,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9593750000,1.9582031250,0.0598444045,0.0001000000,9,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9587890625,1.9587890625,0.0299132516,0.0001000000,10,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9584960938,1.9584960938,0.0149588631,0.0001000000,11,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9583496094,1.9583496094,0.0074799910,0.0001000000,12,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9582763672,1.9582763672,0.0037401354,0.0001000000,13,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9582397461,1.9582397461,0.0018701027,0.0001000000,14,(x/2) - tan(2*x),Bissection
0,1.9582031250,1.9582214355,1.9582214355,0.0009350601,0.0001000000,15,(x/2) - tan(2*x),Bissection
0,1.9582122803,1.9582214355,1.9582122803,0.0004675322,0.0001000000,16,(x/2) - tan(2*x),Bissection
0,1.9582168579,1.9582214355,1.9582168579,0.0002337656,0.0001000000,17,(x/2) - tan(2*x),Bissection
0,1.9582168579,1.9582191467,1.9582191467,0.0001168826,0.0001000000,18,(x/2) - tan(2*x),Bissection
0,1.9582168579,1.9582180023,1.9582180023,0.0000584414,0.0001000000,19,(x/2) - tan(2*x),Bissection
1,3.3500000000,3.7000000000,3.3500000000,10.4477611940,0.0001000000,1,(x/2) - tan(2*x),Bissection
1,3.5250000000,3.7000000000,3.5250000000,4.9645390071,0.0001000000,2,(x/2) - tan(2*x),Bissection
1,3.6125000000,3.7000000000,3.6125000000,2.4221453287,0.0001000000,3,(x/2) - tan(2*x),Bissection
1,3.6562500000,3.7000000000,3.6562500000,1.1965811966,0.0001000000,4,(x/2) - tan(2*x),Bissection
1,3.6562500000,3.6781250000,3.6781250000,0.5947323704,0.0001000000,5,(x/2) - tan(2*x),Bissection
1,3.6671875000,3.6781250000,3.6671875000,0.2982530890,0.0001000000,6,(x/2) - tan(2*x),Bissection
1,3.6726562500,3.6781250000,3.6726562500,0.1489044884,0.0001000000,7,(x/2) - tan(2*x),Bissection
1,3.6753906250,3.6781250000,3.6753906250,0.0743968541,0.0001000000,8,(x/2) - tan(2*x),Bissection
1,3.6767578125,3.6781250000,3.6767578125,0.0371845950,0.0001000000,9,(x/2) - tan(2*x),Bissection
1,3.6774414062,3.6781250000,3.6774414062,0.0185888414,0.0001000000,10,(x/2) - tan(2*x),Bissection
1,3.6777832031,3.6781250000,3.6777832031,0.0092935569,0.0001000000,11,(x/2) - tan(2*x),Bissection
1,3.6779541016,3.6781250000,3.6779541016,0.0046465625,0.0001000000,12,(x/2) - tan(2*x),Bissection
1,3.6779541016,3.6780395508,3.6780395508,0.0023232273,0.0001000000,13,(x/2) - tan(2*x),Bissection
1,3.6779541016,3.6779968262,3.6779968262,0.0011616271,0.0001000000,14,(x/2) - tan(2*x),Bissection
1,3.6779541016,3.6779754639,3.6779754639,0.0005808169,0.0001000000,15,(x/2) - tan(2*x),Bissection
1,3.6779541016,3.6779647827,3.6779647827,0.0002904093,0.0001000000,16,(x/2) - tan(2*x),Bissection
1,3.6779594421,3.6779647827,3.6779594421,0.0001452049,0.0001000000,17,(x/2) - tan(2*x),Bissection
1,3.6779621124,3.6779647827,3.6779621124,0.0000726024,0.0001000000,18,(x/2) - tan(2*x),Bissection
2,5.1750000000,5.3500000000,5.1750000000,3.3816425121,0.0001000000,1,(x/2) - tan(2*x),Bissection
2,5.2625000000,5.3500000000,5.2625000000,1.6627078385,0.0001000000,2,(x/2) - tan(2*x),Bissection
